experiment_id,strain_name,species,assembly,culture_type,fermentation_type,reactor_scale,search_stage,replicate_id,batch_id,experiment_date,carbon_source,nitrogen_source,glucose_g_L,sucrose_g_L,maltose_g_L,total_carbon_g_L,ammonium_g_L,nitrate_g_L,yeast_extract_g_L,total_nitrogen_g_L,phosphate_g_L,sulfate_g_L,magnesium_g_L,calcium_g_L,trace_mix_x,vitamin_mix_x,pH,temperature_C,mixing,rpm,agar_percent,inoculum_g_L,incubation_time_h,feasible_growth,growth_rate_h_inv,fba_growth_proxy,biomass_g_L,glucose_uptake_proxy,nitrogen_uptake_proxy,phosphate_uptake_proxy,sulfate_uptake_proxy,fva_range_proxy,biomass_yield_g_per_g_carbon,organic_acid_g_L,ethanol_g_L,other_byproducts_g_L,total_byproducts_g_L,clean_score,is_synthetic,notes,growth_norm,biomass_norm,yield_norm,byproduct_penalty_norm,overall_rank_score,rank_within_strain
SYN0011,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,3,B6,2026-01-24,maltose,ammonium,0.0,0.0,16.55,16.55,3.98,0.0,0.0,3.98,1.35,0.32,0.393,0.214,0.54,0.8,4.71,28.1,medium,179,0.0,0.398,48,0,0.010553,0.011105,0.074945,14.751305,2.931082,0.771554,0.128273,0.232191,0.004528,0.181432,0.063545,0.159546,0.404524,0.156308,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.028780568956912327,0.026293013169836833,0.03969805630320618,0.02348834673952776,0.021343,51
SYN0012,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,exploit,3,B1,2026-01-27,sucrose,ammonium,0.0,7.85,0.0,7.85,4.46,0.0,0.0,4.46,0.56,1.88,0.127,0.48,1.62,1.23,6.44,37.1,medium,182,0.0,0.793,72,0,0.002139,0.001992,0.011975,6.90154,3.700621,0.292462,0.958532,0.22893,0.001526,0.309131,0.097881,0.18806,0.595072,0.019727,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0058335674214759275,0.004201198648459485,0.013378806077449786,0.04744861063590366,-0.005674,107
SYN0013,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,2,B4,2026-01-21,maltose,ammonium,0.0,0.0,28.23,28.23,4.16,0.0,0.0,4.16,1.63,1.8,0.615,0.143,0.79,0.7,4.05,37.0,medium,178,0.0,0.2,48,0,0.00069,0.00069,0.005065,24.428211,3.672939,0.638092,1.075836,0.259805,0.000179,0.357697,0.089333,0.16537,0.612401,0.008203,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0018817959424115894,0.001776957925214805,0.0015693357063325765,0.04962762806489948,-0.010812,130
SYN0014,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,2,B1,2026-01-03,sucrose,ammonium,0.0,29.76,0.0,29.76,2.05,0.0,0.0,2.05,2.17,0.91,0.256,0.46,1.58,0.31,6.75,26.5,high,239,0.0,0.997,24,0,0.005506,0.005476,0.037118,21.113567,1.780883,1.257936,0.284518,0.225193,0.001247,0.242696,0.066419,0.367484,0.676599,0.052006,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.015016186172345234,0.013022137071692622,0.010932746512830854,0.057700140091368084,-0.002425,94
SYN0015,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,exploit,3,B2,2026-01-09,glucose,ammonium,6.72,0.0,0.0,6.72,4.89,0.0,0.0,4.89,4.19,1.56,0.565,0.421,0.18,0.48,5.37,33.9,medium,187,0.0,0.169,96,0,0.003213,0.003379,0.017962,4.477873,3.744313,1.528607,0.950744,0.178221,0.002673,0.233698,0.104042,0.204197,0.541937,0.03208,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.00876262371444701,0.006301622557296807,0.023434828731994286,0.04076720425990426,-0.000232,88
SYN0016,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,2,B6,2026-01-17,sucrose,ammonium,0.0,28.52,0.0,28.52,3.96,0.0,0.0,3.96,2.66,0.33,0.758,0.158,1.2,1.43,6.98,24.4,medium,179,0.0,0.667,48,0,0.013107,0.012775,0.088627,23.967887,2.74877,1.311577,0.124136,0.228812,0.003108,0.208343,0.053328,0.219021,0.480691,0.155672,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.035745941184331456,0.031093079968018265,0.027248577515539933,0.03306588846232339,0.020577,53
SYN0017,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,2,B3,2026-01-05,sucrose,ammonium,0.0,22.17,0.0,22.17,3.57,0.0,0.0,3.57,3.22,1.31,0.529,0.165,1.6,1.14,5.82,27.8,medium,174,0.0,0.46,72,1,0.211652,0.214384,1.610519,17.697036,2.108263,1.208211,0.779054,0.1753,0.072644,0.137744,0.05715,0.077283,0.272177,0.855432,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.5772259055120258,0.5650196447697972,0.6368872796135402,0.006846508221707259,0.525452,1
SYN0018,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,3,B2,2026-01-02,glucose,ammonium,5.44,0.0,0.0,5.44,5.03,0.0,0.0,5.03,3.88,0.78,0.14,0.304,0.33,0.79,7.18,34.4,medium,185,0.0,0.961,72,0,0.000386,0.00039,0.001977,3.80676,4.238814,2.701243,0.38578,0.240012,0.000363,0.259234,0.067382,0.407304,0.733921,0.002686,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0010527148315519906,0.00069359246162876,0.0031825076055794705,0.064908036511525,-0.014979,147
SYN0019,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,3,B3,2026-01-10,maltose,yeast_extract,0.0,0.0,27.66,27.66,0.0,0.0,3.58,2.148,2.22,0.34,0.161,0.454,0.18,0.54,5.31,31.4,medium,171,0.0,0.327,24,0,0.00768,0.007643,0.059295,21.021116,1.587017,1.039981,0.202493,0.225012,0.002144,0.251938,0.085117,0.125434,0.462488,0.11364,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.020945207011189865,0.0208025113870902,0.018796959521659464,0.030776970794828957,0.010677,64
SYN0020,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,refine,2,B6,2026-01-09,glucose,nitrate,30.51,0.0,0.0,30.51,0.0,2.31,0.0,2.31,2.34,1.09,0.102,0.205,1.84,1.3,4.75,25.1,low,122,0.0,0.219,96,0,0.007768,0.007558,0.054729,28.81797,1.772059,1.210077,0.617487,0.224979,0.001794,0.247604,0.074243,0.381186,0.703033,0.072225,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.02118520417485975,0.019200618023510575,0.01572842601765722,0.06102405645804106,0.002025,80
SYN0021,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,refine,2,B6,2026-01-03,maltose,nitrate,0.0,0.0,26.97,26.97,0.0,2.86,0.0,2.86,2.58,1.33,0.776,0.492,0.65,1.49,4.78,24.0,low,112,0.0,0.762,72,0,0.008331,0.008187,0.065777,22.024741,2.375862,1.738006,0.781912,0.257456,0.002439,0.355959,0.073206,0.124104,0.553269,0.106255,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.022720640574247757,0.023076596534423344,0.021383294903604213,0.04219213504098688,0.009758,67
SYN0022,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,3,B5,2026-01-22,glucose,ammonium,28.21,0.0,0.0,28.21,5.25,0.0,0.0,5.25,3.38,1.61,0.058,0.125,1.28,1.73,5.4,32.8,low,124,0.0,0.054,48,0,0.036439,0.039225,0.273339,23.33238,3.616877,1.508118,0.982575,0.204166,0.009689,0.240566,0.047493,0.109023,0.397082,0.407713,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.09937791644280566,0.09589573589739182,0.08494577462936499,0.022552560040549917,0.079697,19
SYN0023,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,2,B5,2026-01-15,glucose,ammonium,13.89,0.0,0.0,13.89,2.68,0.0,0.0,2.68,0.79,1.17,0.798,0.353,1.23,0.85,5.34,24.1,medium,190,0.0,0.92,24,0,0.013804,0.01367,0.078776,12.16193,1.981324,0.355176,0.71832,0.1675,0.005671,0.187212,0.04111,0.118134,0.346456,0.185254,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.03764682781021678,0.027637045906559028,0.049719010003419224,0.016186645310309104,0.028746,44
SYN0024,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,refine,3,B5,2026-01-07,glucose,ammonium,24.6,0.0,0.0,24.6,2.08,0.0,0.0,2.08,1.24,0.68,0.141,0.438,0.64,1.17,6.4,29.0,medium,182,0.0,0.802,96,0,0.050737,0.051941,0.38501,20.808565,1.839494,0.656526,0.307047,0.260018,0.015651,0.250031,0.037118,0.139323,0.426473,0.474452,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.1383720010581693,0.13507336047126398,0.13721605106039753,0.026248301356010504,0.116587,8
SYN0025,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,1,B2,2026-01-17,glucose,yeast_extract,18.65,0.0,0.0,18.65,0.0,0.0,4.23,2.538,1.54,0.15,0.107,0.198,0.22,1.43,4.62,28.3,medium,171,0.0,0.247,24,0,0.003037,0.002895,0.022057,16.489851,2.143141,0.679328,0.061931,0.240191,0.001183,0.159385,0.046916,0.110914,0.317215,0.065012,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.008282629387107244,0.007738274621216772,0.010371643243527587,0.012509765591844852,0.004554,75
SYN0026,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,3,B2,2026-01-07,glucose,ammonium,6.46,0.0,0.0,6.46,2.98,0.0,0.0,2.98,3.26,0.34,0.057,0.078,1.85,0.12,3.62,23.8,medium,189,0.0,0.229,48,0,2e-06,2e-06,1e-05,5.696953,2.531278,1.431115,0.211336,0.235489,2e-06,0.256776,0.161241,0.312659,0.730676,1.4e-05,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,5.4544809924973605e-06,3.5083078484004048e-06,1.7534477165727112e-05,0.06449999729650444,-0.016118,149
SYN0027,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,screen,3,B5,2026-01-05,glucose,nitrate,28.98,0.0,0.0,28.98,0.0,3.76,0.0,3.76,1.13,0.86,0.268,0.048,0.16,0.76,4.11,33.6,high,236,0.0,0.068,72,0,0.000498,0.000482,0.003892,23.247403,3.373175,0.397085,0.262991,0.231867,0.000134,0.196507,0.0399,0.270305,0.506713,0.007623,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0013581657671318428,0.0013654334145974374,0.0011748099701037165,0.036337998309246444,-0.007896,123
SYN0028,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,exploit,1,B6,2026-01-12,maltose,nitrate,0.0,0.0,23.65,23.65,0.0,1.93,0.0,1.93,0.42,1.21,0.25,0.335,1.69,0.13,4.36,36.0,medium,181,0.0,0.616,72,0,0.000278,0.000277,0.001944,18.347238,1.409101,0.148833,0.700118,0.182647,8.2e-05,0.344485,0.09914,0.163151,0.606775,0.003193,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0007581728579571332,0.0006820150457290386,0.0007189135637948116,0.04892019243355719,-0.011582,134
SYN0029,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,exploit,2,B3,2026-01-05,glucose,ammonium,9.48,0.0,0.0,9.48,5.78,0.0,0.0,5.78,0.97,0.44,0.69,0.457,0.5,0.99,6.75,28.1,medium,184,0.0,0.747,72,0,0.005509,0.005384,0.032926,6.446009,3.592496,0.591952,0.135564,0.192592,0.003473,0.225054,0.136191,0.228852,0.590097,0.052849,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.015024367893833981,0.011551454421643171,0.03044861959828513,0.046823034335525426,0.003686,78
SYN0030,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,exploit,2,B3,2026-01-18,maltose,ammonium,0.0,0.0,23.26,23.26,3.65,0.0,0.0,3.65,1.96,1.22,0.75,0.239,0.47,0.82,3.99,24.6,medium,176,0.0,0.424,48,0,0.000869,0.000851,0.005888,16.415276,2.674371,1.007334,0.476781,0.244848,0.000253,0.262687,0.103154,0.090173,0.456014,0.012746,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0023699719912401032,0.0020656916611381583,0.00221811136146448,0.029962904268467417,-0.005495,106
SYN0031,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,refine,3,B3,2026-01-25,glucose,ammonium,12.57,0.0,0.0,12.57,2.05,0.0,0.0,2.05,3.49,1.76,0.723,0.492,1.97,1.91,4.01,26.9,medium,172,0.0,0.118,24,0,0.002661,0.002636,0.016558,10.373623,1.654955,1.583104,0.756692,0.251102,0.001317,0.160988,0.04055,0.201341,0.402878,0.039476,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.00725718696051774,0.00580905613538139,0.011546453213631304,0.02328137214848805,0.001062,83
SYN0032,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,screen,2,B6,2026-01-12,glucose,nitrate,31.88,0.0,0.0,31.88,0.0,0.96,0.0,0.96,1.34,1.7,0.16,0.213,0.95,0.57,6.65,36.0,medium,172,0.0,0.725,48,0,0.0,0.0,0.0,25.414174,0.705995,0.72065,0.768565,0.215015,0.0,0.823266,0.296474,0.182884,1.302625,0.0,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0,0.0,0.0,0.13641914089952464,-0.034105,172
SYN0033,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,refine,3,B6,2026-01-05,glucose,ammonium,21.63,0.0,0.0,21.63,1.56,0.0,0.0,1.56,1.29,0.11,0.113,0.459,0.71,1.26,4.98,30.5,low,113,0.0,0.492,96,0,0.004796,0.004629,0.035214,16.281357,1.291774,0.732653,0.061907,0.198191,0.001628,0.209101,0.123673,0.195442,0.528216,0.062499,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.013079845420008672,0.012354155257357186,0.01427306441290187,0.03904187111066011,0.001996,81
SYN0034,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,screen,1,B4,2026-01-22,maltose,ammonium,0.0,0.0,34.8,34.8,1.97,0.0,0.0,1.97,0.47,0.94,0.121,0.085,1.3,0.85,4.68,33.6,medium,170,0.0,0.926,72,0,0.00089,0.00091,0.006504,23.040249,1.393522,0.311314,0.528625,0.231145,0.000187,0.400729,0.075619,0.408628,0.884976,0.007295,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0024272440416613257,0.0022818034245996235,0.001639473614995485,0.08390229340672757,-0.019,153
SYN0035,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,2,B6,2026-01-21,maltose,ammonium,0.0,0.0,27.16,27.16,2.66,0.0,0.0,2.66,2.62,1.45,0.417,0.454,0.9,1.33,5.01,29.0,low,117,0.0,0.375,24,0,0.047291,0.049337,0.352611,24.666417,1.692659,1.529418,0.500652,0.199035,0.012983,0.16159,0.05235,0.240055,0.453995,0.437154,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.12897393030809634,0.12370679387323151,0.11382505852131754,0.029709027172896838,0.103776,12
SYN0036,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,3,B6,2026-01-21,glucose,ammonium,21.26,0.0,0.0,21.26,4.33,0.0,0.0,4.33,4.3,1.24,0.219,0.316,0.71,1.95,6.04,22.4,medium,174,0.0,0.43,96,0,0.02796,0.028777,0.193784,17.851188,2.887846,1.872529,0.7681,0.238434,0.009115,0.253856,0.047925,0.116988,0.418769,0.316355,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.07625364427511311,0.06798539280944241,0.07991337968280131,0.02527956973427908,0.060146,25
SYN0037,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,refine,3,B5,2026-01-07,maltose,yeast_extract,0.0,0.0,19.42,19.42,0.0,0.0,3.76,2.256,1.23,1.31,0.246,0.136,1.21,0.88,6.52,35.8,low,126,0.0,0.258,24,0,0.007761,0.007501,0.056262,18.440899,1.39287,0.496781,0.586854,0.212056,0.002897,0.189577,0.099204,0.195453,0.484234,0.104093,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.02116611349138601,0.019738441616670356,0.02539869017455572,0.03351139938337667,0.011018,63
SYN0038,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,mini_bioreactor,screen,3,B1,2026-01-17,sucrose,yeast_extract,0.0,13.12,0.0,13.12,0.0,0.0,7.1,4.26,3.05,0.27,0.669,0.096,0.9,1.15,6.04,32.4,high,246,0.0,0.526,96,0,0.033554,0.034691,0.191334,8.730386,3.345346,1.444688,0.155415,0.235235,0.014583,0.26316,0.04652,0.09959,0.40927,0.318569,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.09150982761112823,0.0671258573865843,0.12785264025389922,0.02408512766849159,0.075072,21
SYN0039,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,1,B5,2026-01-21,maltose,yeast_extract,0.0,0.0,19.74,19.74,0.0,0.0,7.17,4.302,0.82,1.76,0.095,0.085,1.11,0.23,3.5,29.0,high,246,0.0,0.1,24,0,1.9e-05,1.9e-05,0.00014,17.682302,2.505763,0.400216,0.982483,0.212105,7e-06,0.149896,0.084507,0.145986,0.380389,0.000369,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,5.181756942872493e-05,4.911630987760566e-05,6.13706700800449e-05,0.020453515782818517,-0.005066,103
SYN0040,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,refine,3,B3,2026-01-09,glucose,nitrate,11.58,0.0,0.0,11.58,0.0,1.57,0.0,1.57,3.43,0.28,0.087,0.096,0.43,1.66,7.16,24.2,medium,177,0.0,0.429,48,0,0.001006,0.00097,0.00641,8.531276,1.267231,1.880488,0.137989,0.209003,0.000554,0.298758,0.043193,0.146329,0.488279,0.012958,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0027436039392261724,0.002248825330824659,0.0048570501749064104,0.03402003378237766,-0.005786,110
SYN0041,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,3,B4,2026-01-11,maltose,nitrate,0.0,0.0,12.81,12.81,0.0,2.74,0.0,2.74,3.46,1.66,0.458,0.199,0.61,1.09,5.59,32.8,low,120,0.0,0.349,24,0,0.021443,0.022428,0.140922,11.921788,1.564048,1.471581,0.838333,0.247235,0.011001,0.140526,0.079802,0.129598,0.349926,0.287099,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.058480217961060454,0.04943977586122818,0.09644839165008198,0.01662297692082417,0.052906,28
SYN0042,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,2,B2,2026-01-03,glucose,nitrate,10.28,0.0,0.0,10.28,0.0,1.15,0.0,1.15,3.9,0.67,0.301,0.037,0.78,0.6,4.26,36.2,high,238,0.0,0.63,24,0,0.000241,0.000241,0.001296,8.304371,1.033663,1.425299,0.295097,0.258683,0.000126,0.180612,0.103005,0.183576,0.467193,0.002767,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.000657264959595932,0.00045467669715269245,0.001104672061440808,0.03136859622061379,-0.007232,118
SYN0043,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,exploit,3,B2,2026-01-23,glucose,yeast_extract,19.96,0.0,0.0,19.96,0.0,0.0,4.05,2.43,4.37,0.79,0.33,0.297,0.34,0.71,3.88,35.9,medium,190,0.0,0.234,48,0,0.000301,0.000299,0.002053,15.674866,1.819528,2.23585,0.419145,0.173188,0.000103,0.308677,0.116267,0.066556,0.491499,0.004159,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.0008208993893708529,0.0007202556012766031,0.0009030255740349462,0.034424929397898846,-0.007886,122
SYN0044,Neurospora crassa OR74A,Neurospora crassa,NC12,submerged,submerged,shake_flask,screen,2,B1,2026-01-09,sucrose,ammonium,0.0,26.69,0.0,26.69,2.58,0.0,0.0,2.58,1.12,1.15,0.609,0.136,1.67,1.86,5.98,22.8,high,233,0.0,0.618,48,0,0.03758,0.03799,0.275891,23.301384,2.188487,0.586596,0.532467,0.209814,0.010337,0.138161,0.071107,0.172854,0.382122,0.419279,True,Purely synthetic starter dataset; values are simulated and not biologically validated.,0.10248969784902542,0.09679105606030361,0.09062694523106059,0.0206714301001161,0.082706,18
